,from_roman,to_roman
86,IV,V
87,V,IV
88,IV,I
89,I,IV
90,IV,V
91,V,IV
92,IV,I
93,I,IV
94,IV,V
95,V,IV
96,IV,I
97,I,IV
98,IV,V
99,V,IV
100,IV,iii
101,iii,IV
102,IV,iii
103,iii,IV
104,IV,IV
105,IV,I
106,I,V
107,V,vi
108,vi,IV
109,IV,I
110,I,V
111,V,vi
112,vi,IV
113,IV,I
114,I,♭vi°
115,♭vi°,III7
116,III7,vi
117,vi,IV
118,IV,V
119,V,♭VI
120,♭VI,♭III
121,♭III,♭VII
122,♭VII,i
123,i,♭VI
124,♭VI,♭III
125,♭III,V7
126,V7,V7
127,V7,♭VI
128,♭VI,♭III
129,♭III,♭VII
130,♭VII,i
131,i,♭VI
132,♭VI,♭VI
133,♭VI,V7
134,V7,V7
135,V7,♭VI
136,♭VI,♭III
137,♭III,♭VII
138,♭VII,i
139,i,♭VI
140,♭VI,♭III
141,♭III,♭VII
142,♭VII,i
143,i,♭VI
144,♭VI,♭III
145,♭III,vii°
146,vii°,V7
147,V7,i
148,i,♭VI
149,♭VI,♭VII
150,♭VII,♭VI
151,♭VI,♭III
152,♭III,♭VII
153,♭VII,i
154,i,♭VI
155,♭VI,♭III
156,♭III,♭VII
157,♭VII,i
158,i,♭VI
159,♭VI,♭III
160,♭III,vii°
161,vii°,V7
162,V7,i
163,i,♭VI
164,♭VI,♭VII
0,I,ii
1,ii,iii
2,iii,ii
3,ii,V
4,V,I
5,I,ii
6,ii,iii
7,iii,ii
8,ii,V
9,V,♭III
10,♭III,♭VI
11,♭VI,♭III
12,♭III,♭VI
13,♭VI,♭III
14,♭III,♭VI
15,♭VI,♭III
16,♭III,V
17,V,I
18,I,ii
19,ii,iii
20,iii,ii
21,ii,V
22,V,I
23,I,ii
24,ii,iii
25,iii,ii
26,ii,V
27,V,♭III
28,♭III,♭VI
29,♭VI,♭III
30,♭III,V
31,V,VI
32,VI,♭III
33,♭III,♭VI
34,♭VI,♭III
35,♭III,V
36,V,I
37,I,ii
38,ii,iii
39,iii,V
40,V,I
41,I,ii
42,ii,iii
43,iii,V
44,V,♭III
45,♭III,♭VI
46,♭VI,♭III
47,♭III,V
48,V,VI
49,VI,♭III
50,♭III,♭VI
51,♭VI,♭III
52,♭III,V
53,V,I
54,I,ii
55,ii,iii
56,iii,ii
57,ii,V
58,V,I
59,I,ii
60,ii,iii
61,iii,ii
62,ii,V
63,V,I
64,I,ii
65,ii,iii
66,iii,ii
67,ii,V
68,V,I
69,I,ii
70,ii,iii
71,iii,ii
72,ii,V
73,V,I
74,I,ii
75,ii,iii
76,iii,ii
77,ii,V
0,I,♭VII
1,♭VII,I
2,I,♭VII
3,♭VII,I
4,I,♭VII
5,♭VII,I
6,I,♭VII
7,♭VII,I
8,I,♭VII
9,♭VII,I
10,I,♭VII
11,♭VII,I
12,I,♭VII
13,♭VII,I
14,I,♭VII
15,♭VII,I
16,I,♭VII
17,♭VII,IV
18,IV,♭III
19,♭III,IV
20,IV,♭III
21,♭III,IV
22,IV,♭III
23,♭III,IV
24,IV,V
25,V,I
26,I,♭VII
27,♭VII,I
28,I,♭VII
29,♭VII,I
30,I,♭VII
31,♭VII,I
32,I,I
33,I,♭VII
34,♭VII,I
35,I,♭VII
36,♭VII,I
37,I,♭VII
38,♭VII,I
39,I,♭VII
40,♭VII,I
41,I,♭VII
42,♭VII,I
43,I,♭VII
44,♭VII,I
45,I,♭VII
46,♭VII,I
47,I,♭VII
48,♭VII,I
49,I,♭VII
50,♭VII,I
51,I,♭VII
52,♭VII,I
53,I,♭VII
54,♭VII,I
55,I,♭VII
56,♭VII,I
57,I,♭VII
58,♭VII,I
59,I,♭VII
60,♭VII,I
61,I,♭VII
62,♭VII,I
63,I,♭VII
64,♭VII,IV
65,IV,♭III
66,♭III,IV
67,IV,♭III
68,♭III,IV
69,IV,♭III
70,♭III,IV
71,IV,V
72,V,I
73,I,♭VII
74,♭VII,I
75,I,♭VII
76,♭VII,I
77,I,♭VII
78,♭VII,I
79,I,I
80,I,♭VII
81,♭VII,I
82,I,♭VII
83,♭VII,I
84,I,♭VII
85,♭VII,I
86,I,♭VII
87,♭VII,I
88,I,♭VII
89,♭VII,I
90,I,♭VII
91,♭VII,I
92,I,♭VII
93,♭VII,I
94,I,♭VII
95,♭VII,IV
96,IV,♭III
97,♭III,IV
