,from_roman,to_roman
10,iii,II
11,II,I
12,I,iii
13,iii,II
14,II,V
15,V,II
16,II,I
17,I,iii
18,iii,II
19,II,I
20,I,I
21,I,iii
22,iii,II
23,II,V
24,V,I
25,I,V
26,V,II
27,II,V
28,V,I
29,I,iii
30,iii,I
31,I,V
32,V,iii
33,iii,I
34,I,II
35,II,I
36,I,iii
37,iii,II
38,II,I
39,I,iii
40,iii,II
41,II,I
42,I,iii
43,iii,II
44,II,I
45,I,iii
46,iii,II
47,II,V
48,V,II
49,II,I
50,I,iii
51,iii,II
52,II,I
53,I,I
54,I,iii
55,iii,II
56,II,V
57,V,I
58,I,V
59,V,iii
60,iii,V
61,V,I
62,I,V
63,V,iii
64,iii,V
65,V,I
66,I,V
67,V,V
68,V,iii
69,iii,V
70,V,I
71,I,V
72,V,iii
73,iii,V
74,V,I
75,I,V
76,V,iii
77,iii,V
78,V,I
79,I,V
80,V,iii
81,iii,V
82,V,iii
83,iii,II
84,II,I
85,I,V
86,V,iii
87,iii,V
88,V,iii
89,iii,II
0,I,V
1,V,I
2,I,V
3,V,ii
4,ii,IV
5,IV,I
6,I,V
7,V,I
8,I,V
9,V,I
10,I,V
11,V,ii
12,ii,IV
13,IV,I
14,I,V
15,V,ii
16,ii,IV
17,IV,ii
18,ii,IV
19,IV,V
20,V,I
21,I,IV
22,IV,ii
23,ii,V
24,V,♯iii
25,♯iii,♯vi
26,♯vi,IV
27,IV,ii
28,ii,V
29,V,I
30,I,V
31,V,ii
32,ii,IV
33,IV,V
34,V,I
35,I,V
36,V,I
37,I,V
38,V,ii
39,ii,IV
40,IV,I
41,I,V
42,V,ii
43,ii,IV
44,IV,ii
45,ii,IV
46,IV,V
47,V,I
48,I,IV
49,IV,ii
50,ii,V
51,V,vi°
52,vi°,♯vi
53,♯vi,IV
54,IV,ii
55,ii,V
56,V,I
57,I,ii
58,ii,IV
59,IV,ii
60,ii,V
61,V,ii
62,ii,IV
63,IV,ii
64,ii,V
65,V,ii
66,ii,IV
67,IV,V
68,V,I
69,I,IV
70,IV,ii
71,ii,V
72,V,vi°
73,vi°,♯vi
74,♯vi,IV
75,IV,ii
76,ii,V
77,V,I
78,I,V
79,V,ii
80,ii,IV
81,IV,V
82,V,I
0,I,V6
1,V6,vi7
2,vi7,V
3,V,I
4,I,V6
5,V6,vi7
6,vi7,V
7,V,I
8,I,V6
9,V6,V6
10,V6,vi7
11,vi7,V
12,V,I
13,I,V6
14,V6,vi7
15,vi7,V
16,V,I
17,I,V6
18,V6,vi7
19,vi7,V
20,V,IV
21,IV,I
22,I,V6
23,V6,vi7
24,vi7,V
25,V,I
26,I,V6
27,V6,vi7
28,vi7,V
29,V,I
30,I,V6
31,V6,vi7
32,vi7,V
33,V,IV
34,IV,I
35,I,I
36,I,I
37,I,V
38,V,II
39,II,vi
40,vi,V6
41,V6,I
42,I,V
43,V,II
44,II,vi7
45,vi7,V6
46,V6,I
47,I,I
48,I,I
49,I,V6
50,V6,vi7
51,vi7,V
52,V,I
53,I,V6
54,V6,IV
55,IV,I
56,I,V6
57,V6,vi7
58,vi7,V
59,V,I
60,I,V6
61,V6,vi7
62,vi7,V
63,V,I
64,I,V6
65,V6,vi7
66,vi7,V
67,V,IV
68,IV,I6
69,I6,IV
70,IV,I
71,I,I
72,I,I
73,I,V
74,V,II
75,II,vi
76,vi,V6
77,V6,I
78,I,V6
79,V6,II
80,II,vi
81,vi,V6
82,V6,I
83,I,I
84,I,I
85,I,V
86,V,II
87,II,vi7
88,vi7,V6
89,V6,II
90,II,V
91,V,II
92,II,vi
93,vi,V6
94,V6,I
95,I,vi
96,vi,V6
97,V6,I
98,I,I
99,I,I
100,I,V6
101,V6,vi7
102,vi7,V
103,V,I
104,I,V6
105,V6,V6
106,V6,vi7
107,vi7,V
108,V,I
109,I,V6
110,V6,vi7
111,vi7,I
112,I,V6
113,V6,vi7
114,vi7,V
115,V,I
116,I,V6
117,V6,IV
0,I,IM7
1,IM7,vi
2,vi,IV
3,IV,ii
4,ii,I
5,I,IM7
6,IM7,vi
7,vi,V
8,V,IV
9,IV,IV
10,IV,ii
11,ii,I
12,I,IM7
13,IM7,vi
14,vi,V
15,V,IV
16,IV,IV
17,IV,ii
18,ii,IV
19,IV,V
20,V,I
21,I,♭VII
22,♭VII,IV
23,IV,V
24,V,I
25,I,♭VII
26,♭VII,IV
27,IV,V
28,V,I
29,I,♭VII
30,♭VII,♭VII
31,♭VII,IV
32,IV,vi
33,vi,IV
34,IV,V
35,V,I
36,I,IM7
37,IM7,vi
38,vi,IV
39,IV,IV
40,IV,ii
41,ii,I
42,I,IM7
43,IM7,vi
44,vi,V
45,V,IV
46,IV,IV
47,IV,ii
48,ii,I
49,I,IM7
50,IM7,vi
51,vi,V
52,V,IV
53,IV,IV
54,IV,ii
55,ii,IV
56,IV,V
57,V,I
58,I,♭VII
59,♭VII,IV
60,IV,V
61,V,I
62,I,♭VII
63,♭VII,♭VII
64,♭VII,IV
65,IV,vi
66,vi,IV
67,IV,V
68,V,I
69,I,IM7
70,IM7,vi
71,vi,V
72,V,IV
73,IV,IV
74,IV,ii
75,ii,I
0,I,I
1,I,IV
2,IV,I
3,I,IV
4,IV,V
5,V,I
6,I,I
7,I,IV
8,IV,I
9,I,IV
10,IV,V
11,V,I
12,I,I
13,I,IV
14,IV,I
15,I,IV
16,IV,V
17,V,I
18,I,IV
19,IV,V
20,V,I
21,I,vi
22,vi,V
23,V,IV
24,IV,I
25,I,vi
26,vi,V
27,V,IV
28,IV,vi
29,vi,V
30,V,IV
31,IV,I
32,I,I
33,I,V
34,V,I
35,I,V
36,V,I
37,I,I
38,I,IV
39,IV,I
40,I,IV
41,IV,V
42,V,I
43,I,IV
44,IV,I
45,I,IV
46,IV,V
47,V,I
48,I,IV
49,IV,V
50,V,I
51,I,vi
52,vi,V
53,V,IV
54,IV,I
55,I,vi
56,vi,V
57,V,IV
58,IV,vi
59,vi,V
60,V,IV
61,IV,I
62,I,I
63,I,V
64,V,I
65,I,I
66,I,I
67,I,I
68,I,I
69,I,IV
70,IV,IV
71,IV,IV
72,IV,IV
73,IV,I
74,I,I
75,I,I
76,I,I
77,I,I
78,I,I
79,I,I
80,I,I
81,I,IV
82,IV,IV
83,IV,IV
84,IV,V
85,V,V
86,V,V
87,V,V
88,V,I
89,I,vi
90,vi,V
91,V,IV
