Source,Target,sum_appearance,percent,log_ratio,probability
IV,♭VI,22,0.0010291916167664672,0.010998017833357653,0.007472826086956522
IV,♭VI7,2,9.356287425149701e-05,1.3019821991489235,0.0006793478260869565
IV,♭VII,53,0.0024794161676646707,-0.25913713601436933,0.018002717391304348
IV,♭VII64,2,9.356287425149701e-05,0.12332720280727733,0.0006793478260869565
IV,♭iv,2,9.356287425149701e-05,0.04921923065355553,0.0006793478260869565
IV,♯V,1,4.6781437125748506e-05,0.6088350185889781,0.00033967391304347825
IV,♯V7,1,4.6781437125748506e-05,-0.7129208213933413,0.00033967391304347825
IV,♯iv°,3,0.0001403443113772455,1.9951293797088685,0.0010190217391304348
IV,♯vi,8,0.00037425149700598805,0.8164743833672227,0.002717391304347826
IV,♯vi7,1,4.6781437125748506e-05,1.9951293797088687,0.00033967391304347825
IV6,I,13,0.0006081586826347306,-0.050037040676691014,0.1566265060240964
IV6,III,4,0.00018712574850299402,-0.2311972920329661,0.04819277108433735
IV6,IV,1,4.6781437125748506e-05,-2.423711228087729,0.012048192771084338
IV6,V,9,0.00042103293413173654,-0.08662352281881656,0.10843373493975904
IV6,V65,4,0.00018712574850299402,5.0113052954086745,0.04819277108433735
IV6,V7,1,4.6781437125748506e-05,0.2096289176346717,0.012048192771084338
IV6,v,20,0.0009356287425149701,2.843068254945707,0.24096385542168675
IV6,♭VI,3,0.0001403443113772455,1.5943595567783795,0.03614457831325301
IV6,♭VII,27,0.0012630988023952096,2.6421995200730657,0.3253012048192771
IV6,♯v°,1,4.6781437125748506e-05,3.373696506007877,0.012048192771084338
IV64,I,3,0.0001403443113772455,-0.3933703676778492,0.11538461538461539
IV64,I6,1,4.6781437125748506e-05,2.599580262914265,0.038461538461538464
IV64,I7,1,4.6781437125748506e-05,2.324476972669344,0.038461538461538464
IV64,IV64,1,4.6781437125748506e-05,3.3980879591320368,0.038461538461538464
IV64,V,3,0.0001403443113772455,-0.06223206969465761,0.11538461538461539
IV64,V6,5,0.00023390718562874252,3.3617203149611616,0.19230769230769232
IV64,ii,4,0.00018712574850299402,1.5508003479940309,0.15384615384615385
IV64,viiø7,2,9.356287425149701e-05,6.00077764457642,0.07692307692307693
IV64,♭VII,6,0.000280688622754491,2.2611258650890607,0.23076923076923078
IV7,II,2,9.356287425149701e-05,1.046124985231101,0.05405405405405406
IV7,III,3,0.0001403443113772455,0.28904333066762633,0.08108108108108109
IV7,VI,3,0.0001403443113772455,0.28828832874425725,0.08108108108108109
IV7,VII,10,0.00046781437125748503,1.5577560862859088,0.2702702702702703
IV7,i,1,4.6781437125748506e-05,-0.9162126379661599,0.02702702702702703
IV7,ii,2,9.356287425149701e-05,0.5425721207941903,0.05405405405405406
IV7,iv7,2,9.356287425149701e-05,4.507041601594879,0.05405405405405406
IV7,vi,2,9.356287425149701e-05,-0.14691874856264456,0.05405405405405406
IV7,♭VII,9,0.00042103293413173654,2.3515099265573296,0.24324324324324326
IV7,♯vi,3,0.0001403443113772455,4.219359529143098,0.08108108108108109
IVM43,I,4,0.00018712574850299402,1.5807106583441604,0.8
IVM43,ii7,1,4.6781437125748506e-05,3.1280503506599646,0.2
IVM7,I,36,0.0016841317365269462,1.2930285858923793,0.6
IVM7,IV,6,0.000280688622754491,-0.30745571328517707,0.1
IVM7,ii,1,4.6781437125748506e-05,-0.6340017093436314,0.016666666666666666
IVM7,iii,10,0.00046781437125748503,2.474417119960259,0.16666666666666666
IVM7,♭VII,1,4.6781437125748506e-05,-0.3291413003567659,0.016666666666666666
IVM7,♭iv,6,0.000280688622754491,5.04811926853139,0.1
V,I,934,0.0436938622754491,0.78856146438808,0.36584410497453973
V,I6,9,0.00042103293413173654,0.23787252275568058,0.0035252643948296123
V,I64,3,0.0001403443113772455,-0.3217432651797423,0.0011750881316098707
V,I7,1,4.6781437125748506e-05,-2.23445534482546,0.0003916960438699569
V,II,99,0.004631362275449102,0.7042463839508373,0.038777908343125736
V,II7,4,0.00018712574850299402,-1.1231040303799205,0.0015667841754798276
V,III,16,0.0007485029940119761,-2.2808315066156104,0.00626713670191931
V,III6,1,4.6781437125748506e-05,-0.062232069694657374,0.0003916960438699569
V,III7,6,0.000280688622754491,0.0766043751595582,0.0023501762632197414
